xi	avg(x)						n	xi-x	(xi-x)^2	sum	s^2	stdErr	Rse	ln
1	0	0	0	0	1	2	2	1	1	1	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	1	2	2	1	1	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	1	2	2	1	1	3	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	1	2	2	1	1	4	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	0	0	0	0	1	2	2	2	4	8	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	1	1	1	1	5	0	0	0	8	2	#ƒ≈À/0!	#ƒ≈À/0!
0	0	0	1	1	1	1	5	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	1	1	1	1	5	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	1	1	1	1	5	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	1	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	3	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	4	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	5	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	6	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	7	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	8	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	9	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	10	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	11	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	12	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	13	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	14	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	15	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	1	1	1	1	5	1	1	16	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	4	0,894427191	#ƒ≈À/0!	#ƒ≈À/0!
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2	2	2	2	3	3	4	10	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	1	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	3	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	4	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	5	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	6	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	7	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	8	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	9	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	10	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
3	2	2	2	3	3	4	10	1	1	11	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
4	2	2	2	3	3	4	10	2	4	15	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
6	7	6	7	8	9	12	15	-1	1	1	1,666666667	0,40824829	20,41241452	-2,625439678
6	7	6	7	8	9	12	15	-1	1	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
7	7	6	7	8	9	12	15	0	0	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
7	7	6	7	8	9	12	15	0	0	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
7	7	6	7	8	9	12	15	0	0	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
7	7	6	7	8	9	12	15	0	0	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
7	7	6	7	8	9	12	15	0	0	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	3	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	4	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	5	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	6	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	7	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	8	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	9	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
8	7	6	7	8	9	12	15	1	1	10	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
9	7	6	7	8	9	12	15	2	4	14	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
9	7	6	7	8	9	12	15	2	4	18	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
9	7	6	7	8	9	12	15	2	4	22	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
9	7	6	7	8	9	12	15	2	4	26	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
12	7	6	7	8	9	12	15	5	25	51	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
11	15	11	14	16	18	23	20	-4	16	16	3,642857143	0,49280538	7,040076861	-1,340116179
11	15	11	14	16	18	23	20	-4	16	32	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
12	15	11	14	16	18	23	20	-3	9	41	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
13	15	11	14	16	18	23	20	-2	4	45	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
14	15	11	14	16	18	23	20	-1	1	46	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
14	15	11	14	16	18	23	20	-1	1	47	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
15	15	11	14	16	18	23	20	0	0	47	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
15	15	11	14	16	18	23	20	0	0	47	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
15	15	11	14	16	18	23	20	0	0	47	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
15	15	11	14	16	18	23	20	0	0	47	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
16	15	11	14	16	18	23	20	1	1	48	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
17	15	11	14	16	18	23	20	2	4	52	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
17	15	11	14	16	18	23	20	2	4	56	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
17	15	11	14	16	18	23	20	2	4	60	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
17	15	11	14	16	18	23	20	2	4	64	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
18	15	11	14	16	18	23	20	3	9	73	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
18	15	11	14	16	18	23	20	3	9	82	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
20	15	11	14	16	18	23	20	5	25	107	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
20	15	11	14	16	18	23	20	5	25	132	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
23	15	11	14	16	18	23	20	8	64	196	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
25	30	25	27	30	32	47	25	-5	25	25	10,31578947	0,718184846	4,787898976	-2,497975533
26	30	25	27	30	32	47	25	-4	16	41	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
26	30	25	27	30	32	47	25	-4	16	57	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
26	30	25	27	30	32	47	25	-4	16	73	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
27	30	25	27	30	32	47	25	-3	9	82	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
27	30	25	27	30	32	47	25	-3	9	91	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
29	30	25	27	30	32	47	25	-1	1	92	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
29	30	25	27	30	32	47	25	-1	1	93	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
29	30	25	27	30	32	47	25	-1	1	94	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
29	30	25	27	30	32	47	25	-1	1	95	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
30	30	25	27	30	32	47	25	0	0	95	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
30	30	25	27	30	32	47	25	0	0	95	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
30	30	25	27	30	32	47	25	0	0	95	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
30	30	25	27	30	32	47	25	0	0	95	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
31	30	25	27	30	32	47	25	1	1	96	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
32	30	25	27	30	32	47	25	2	4	100	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
32	30	25	27	30	32	47	25	2	4	104	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
32	30	25	27	30	32	47	25	2	4	108	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
33	30	25	27	30	32	47	25	3	9	117	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
47	30	25	27	30	32	47	25	17	289	406	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
76	207	76	84	85	87	2460	35	-131	17161	17161	16,91666667	0,822597512	2,741991707	7,337592025
79	207	76	84	85	87	2460	35	-128	16384	33545	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
82	207	76	84	85	87	2460	35	-125	15625	49170	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
82	207	76	84	85	87	2460	35	-125	15625	64795	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
84	207	76	84	85	87	2460	35	-123	15129	79924	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
84	207	76	84	85	87	2460	35	-123	15129	95053	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	109937	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	124821	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	139705	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	154589	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	169473	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	184357	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	199241	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
85	207	76	84	85	87	2460	35	-122	14884	214125	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
86	207	76	84	85	87	2460	35	-121	14641	228766	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
87	207	76	84	85	87	2460	35	-120	14400	243166	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
87	207	76	84	85	87	2460	35	-120	14400	257566	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
122	207	76	84	85	87	2460	35	-85	7225	264791	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
131	207	76	84	85	87	2460	35	-76	5776	270567	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
2460	207	76	84	85	87	2460	35	2253	5076009	5346576	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
105	137	105	105	106	107	712	40	-32	1024	1024	157252,2353	67,02925487	32,38128255	-8,153250326
105	137	105	105	106	107	712	40	-32	1024	2048	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
105	137	105	105	106	107	712	40	-32	1024	3072	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
105	137	105	105	106	107	712	40	-32	1024	4096	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
105	137	105	105	106	107	712	40	-32	1024	5120	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
105	137	105	105	106	107	712	40	-32	1024	6144	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	7105	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	8066	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	9027	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	9988	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	10949	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	11910	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	12871	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
106	137	105	105	106	107	712	40	-31	961	13832	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
107	137	105	105	106	107	712	40	-30	900	14732	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
107	137	105	105	106	107	712	40	-30	900	15632	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
108	137	105	105	106	107	712	40	-29	841	16473	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
108	137	105	105	106	107	712	40	-29	841	17314	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
139	137	105	105	106	107	712	40	2	4	17318	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
712	137	105	105	106	107	712	40	575	330625	347943	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
134	267	134	219	233	316	503	50	-133	17689	17689	8921,615385	14,93453664	10,90112163	-5,613889862
191	267	134	219	233	316	503	50	-76	5776	23465	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
204	267	134	219	233	316	503	50	-63	3969	27434	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
218	267	134	219	233	316	503	50	-49	2401	29835	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
219	267	134	219	233	316	503	50	-48	2304	32139	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
219	267	134	219	233	316	503	50	-48	2304	34443	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
220	267	134	219	233	316	503	50	-47	2209	36652	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
220	267	134	219	233	316	503	50	-47	2209	38861	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
221	267	134	219	233	316	503	50	-46	2116	40977	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
228	267	134	219	233	316	503	50	-39	1521	42498	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
233	267	134	219	233	316	503	50	-34	1156	43654	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
235	267	134	219	233	316	503	50	-32	1024	44678	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
244	267	134	219	233	316	503	50	-23	529	45207	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
248	267	134	219	233	316	503	50	-19	361	45568	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
278	267	134	219	233	316	503	50	11	121	45689	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
316	267	134	219	233	316	503	50	49	2401	48090	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
356	267	134	219	233	316	503	50	89	7921	56011	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
394	267	134	219	233	316	503	50	127	16129	72140	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
471	267	134	219	233	316	503	50	204	41616	113756	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
503	267	134	219	233	316	503	50	236	55696	169452	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
331	375	331	332	332	348	915	60	-44	1936	1936	3458,204082	8,316494552	3,114791967	-0,942494044
331	375	331	332	332	348	915	60	-44	1936	3872	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
331	375	331	332	332	348	915	60	-44	1936	5808	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
331	375	331	332	332	348	915	60	-44	1936	7744	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
331	375	331	332	332	348	915	60	-44	1936	9680	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
332	375	331	332	332	348	915	60	-43	1849	11529	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
332	375	331	332	332	348	915	60	-43	1849	13378	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
332	375	331	332	332	348	915	60	-43	1849	15227	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
332	375	331	332	332	348	915	60	-43	1849	17076	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
